gene	time00	time01	time02	time03	time04	time05	time06	time07	time08	time09	time10	time11	time12	time13	time14	time15	time16	time17	time18	time19	time20	time21	time22	time23	time24	time25	time26	time27	time28	time29	time30	time31	time32	time33	time34	time35	time36	time37	time38	time39	time40
X1	-3.7424332038457857	4.162060352017106	-3.113973505190817	2.323033834886458	3.770840042229431	-3.3609894389234904	-5.283221325887398	-1.8854973787918858	0.5908531194739823	-0.20401905430965028	-1.6793309842448425	0.4274896887320989	3.757173892414069	-4.777790880559058	-1.4380185999309203	2.854857579831268	2.612318323526701	1.1481283826552136	-1.5822200328257168	-0.417002237017863	3.240618112019803	-0.6208290369698453	-0.09744183970517462	2.976444386097852	-3.4967802337796865	0.5027898271807119	1.3530436620701187	-1.3044377878450966	-3.3860800209282216	-2.330908786883773	-3.078847131238385	1.2371502443670797	3.7401912196599008	-0.18970866082396487	2.1453978123912782	-4.442220736190457	4.907340370883196	-0.6062479307126838	1.0489069162280376	3.774582854268861	0.46477818567155627
X10	-2066674.9163926505	-336181.36153491214	-2032528.0320238972	10249314.878869109	-2066689.4188605633	-2066691.2740912968	-2064899.6115336334	-2061901.163563164	5473767.925140634	-2066437.4244080975	-2063761.9699006598	30789242.02609854	-2066595.789597614	-2066687.8086245211	-2066690.4457472947	-2066691.8338066216	-2045779.127461402	-2066632.236547707	-1007202.3974224734	-2066535.7387320017	2549936.9259616905	-2066683.9837005218	-2066689.145225791	-2066691.9522048251	-2066692.2953425113	-1975543.5694322702	-2065596.657013317	18049318.23440781	-2066658.51505325	-2053892.7347893314	-2066278.704412138	759817.19015666	-2010884.8978247456	-1418030.0772207337	-1917819.9157461813	-1669552.4714824744	-1823541.9918916633	-2058859.6820681517	-2066019.74463232	-2066691.9068811934	-2066688.3854645113
X2	4.4020087841857585	-3.932980231408019	3.1584480958713925	-5.195405089388403	-4.5391478304148976	5.343048209708579	-1.258517329997309	2.149768786770699	5.198914103372948	-3.2251240720668446	2.4592438532175356	-4.6974794198088885	2.540193036658236	3.817937054085494	-3.435220750695266	4.770917187805251	-2.910927292046748	1.6349724803742305	-3.834621386447412	-4.606705905247987	-3.3838202083706816	5.039076843562276	-2.889086663589326	-4.898629865473675	-3.6538347269909885	-3.4409031559041026	3.9155843025732313	-1.9986856874614647	-4.387590367079314	3.761764547705619	3.073896534926863	3.6151405378259955	2.575108566208141	4.8192954004140045	-3.6174626478122427	-5.263661540627362	3.3532891921615953	4.891536818564905	4.429506283835353	-0.31941472288161066	-3.460431726115574
X3	-2.6813461368309692	-2.622664944445237	-0.9640659906435989	2.7787452985320527	-3.657029071554425	3.0848797127379366	-0.34804337124619256	1.8249568405551333	-2.5153594349508364	0.2334317281535747	-2.255571162603551	3.87008137702901	-2.5130678029121016	-2.059395427691375	4.626913216889042	3.798239392129741	3.1573966410078738	2.7688727872320356	-4.043857888794545	0.020539498901690045	3.1187700994003835	-4.783140125344184	-1.4907930581956705	1.009338516500846	2.6399408734281153	-4.543528604727849	-0.617136991439736	-2.670047938132405	1.3113937717494708	0.28321240178004103	-4.772110408587612	0.6585078099225616	-0.32377437029777	2.253799491526424	-0.9995566175159549	-0.21935206995556822	3.6484752778913707	0.09072846462965378	0.00508634701657984	0.027119242589974224	2.86941262626607
X4	-628210.2603244156	3115515.4268132015	-628211.4758157684	-600524.3140163621	-611265.4169747803	-628182.5198180022	-628211.0318827542	-628201.8905532679	-627326.1367955867	-621866.1856055356	9359153.635813953	-554324.8842212436	-431064.80432356335	-628207.0216236451	5486525.354561443	-628163.4852238998	-624331.0358578854	-627880.451438114	-628132.8596622362	-627669.9470971583	-582980.4244972169	-617840.6209357729	-628213.1400685225	-628194.0901146521	-626761.990720464	-628214.3571156267	230942.58940273884	1663865.1768385107	-628211.1392587874	-625838.1980017882	-306184.6223803121	775091.4052660615	-628210.3052126517	-628211.0194067985	-628085.0699267377	-628213.0008693687	-628212.4509966635	-628211.5480833913	-507518.342598509	-628007.0037852033	-102212.54348922451
X5	412713.3290207894	412702.5899851986	394515.0227295201	412673.96843183675	405887.05203033466	-151676.6748690026	-6148703.809779	411134.0192832901	412687.9194448353	412723.12573775207	411738.8023534949	412712.60070309974	412652.6082569204	-3604456.021088308	67184.14416101755	412697.16911815933	410146.83731640456	412335.68738036783	412712.0054372219	412722.27544459637	283205.4169665994	364170.379365302	412723.2627575354	412475.6812814407	412717.91698816704	-2046748.0834207959	412710.0455233208	412720.19895993505	412108.4892272606	-1093049.9118514822	-509156.83900152025	412725.6873337307	412715.8974761258	382992.3876061117	333426.0006861355	408529.6549854305	412563.6332747867	412618.23271553265	412705.5774711161	401568.5325181337	201175.18803860605
X6	2.3658444992200645	0.8568034237539961	2.3563594534332544	1.389577648951379	2.1239011267838137	-1.8992030231346704	2.2565083518956213	1.212161760257458	2.912771102806827	-0.7608385643670496	-1.7162581640408712	0.6197086038098858	1.0565547098910664	-2.3758899020712883	-1.3528587177310345	-3.5079308981609936	3.591885025119229	0.7902393821976701	0.429898217107362	-3.110611043811101	-3.0434923460623624	-2.4357107739717936	-2.4329222746665033	2.9276193040852907	1.3530046204423747	1.5244796379440597	-2.078761022038699	-1.801819455112205	1.1988309624195939	-0.10922364416878283	2.7605524100806043	1.9141740626969748	-2.450221885913259	2.6282852613255496	-2.8632474499498297	-2.116661431484447	-2.9648505274451176	-2.1394225711861132	0.6671503636777916	0.23658864476087693	1.9870251226553775
X7	3005823.421251023	3239138.526885192	3239147.6620847182	3151705.297455465	3234552.2302743727	-16063848.553418877	3238759.1721431217	3239151.520599274	1578587.6456968044	526914.5176920271	-3996479.74569338	3239151.2748733317	3231638.7296049255	-48256494.01312601	3239131.338473617	3239140.4761543223	3238504.9928507935	-8579037.007291298	3238915.272796985	2616681.15709952	3185622.4984041806	3239144.2321429895	-1190828.4040397713	3239012.2495852443	2222466.7798861056	3239150.6645630654	3239072.294807873	3219098.955065807	3096305.2440766874	3239136.585458089	2858044.6992163053	-28288956.318486832	3236334.4903775593	3239105.778490068	3238092.619036779	3206388.490089052	3239150.1315145907	3226878.2212049444	3239150.424286343	3237424.0465134843	3239122.401401511
X8	-1361396.770262822	-1361412.591599633	-1361422.8061635753	-1360239.8411273428	500546.46354676667	-1361421.8673675987	-1361420.858944715	-1361152.8335975953	3605803.8951785313	-1361418.1665676744	-1361420.8505345457	1679764.261355936	-1361405.7724002146	-1361257.0204153466	-1201250.8977921824	-1099803.3627105139	6751653.333803013	-1301381.3991624399	-1361421.9806946989	-1356254.704485554	-1352982.1108943874	-663468.4637510552	20282205.589453913	-1359487.9230322195	-1361422.2346431883	-1360699.4352435975	-1361382.4694457971	-1263359.2376087732	-1360982.0504614098	-1361422.1895371906	-1358258.332216886	-1361421.084652565	-1324660.3487906526	-1361358.5607741904	-934106.8629068593	11889849.013499767	-1361319.98351191	-1338913.8132286752	-221432.95901574963	-1347640.0625612717	-1361422.7107350908
X9	-1973049.4645438173	-1973062.9930134546	-1972419.0026866873	-1968475.5958383365	-1972975.3409052275	-1973058.8076399341	-1740919.785849948	17231569.617057487	-1973027.1178467954	-1973065.3373314326	-1970251.2272829304	-961534.7251647797	-1886050.9155406624	725401.1248827816	-1973064.8088962105	-1972824.1676425764	-1973061.5835974629	-1593893.1850172374	-1973054.077629069	-1953095.486096473	5225730.012606119	-1965575.218632437	-1973040.5109145555	-1940449.4547203598	-1973062.4719194747	-1973062.8882097355	-1972918.7871869851	-1919792.3539387798	-1972670.4995582202	-320923.4642944329	2434388.1287977854	-1971340.1725992544	-1960836.8433988444	-1830938.9158448707	29394387.68507433	-1973061.7865375222	-1973063.6301054722	-1353753.6519354777	9784915.766185943	-1973008.5990528844	-1972009.4632321002
